anchor_path,positive_path,negative_path
F:\DATASET\VGGFace2\dataset\train\n000497\0498_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000497\0502_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000386\0120_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000073\0025_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000073\0329_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000212\0040_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000463\0055_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000463\0048_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000425\0109_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000408\0147_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000408\0343_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000375\0172_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000396\0108_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000396\0077_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000015\0383_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000130\0142_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000130\0122_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000180\0213_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000302\0600_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000302\0194_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000252\0051_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000407\0054_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000407\0036_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000173\0407_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000263\0121_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000263\0023_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000187\0196_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000053\0287_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000053\0012_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000236\0281_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000269\0124_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000269\0029_04.jpg,F:\DATASET\VGGFace2\dataset\train\n000137\0195_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000270\0729_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000270\0490_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000079\0030_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000090\0336_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000090\0046_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000229\0186_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000250\0355_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000250\0356_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000408\0151_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000343\0370_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000343\0056_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000208\0367_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000107\0011_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000107\0066_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000052\0527_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000091\0108_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000091\0051_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000016\0296_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000085\0146_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000085\0471_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000173\0047_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000501\0063_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000501\0084_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000277\0100_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000245\0203_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000245\0239_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000169\0132_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000127\1126_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000127\0185_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000425\0103_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000108\0428_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000108\0204_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000084\0051_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000276\0109_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000276\0066_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000502\0104_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000304\0195_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000304\0002_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000483\0137_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000419\0330_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000419\0709_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000266\0209_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000448\0066_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000448\0046_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000317\0065_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000206\0042_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000206\0031_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000035\0067_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000500\0236_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000500\0359_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000202\0137_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000296\0079_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000296\0100_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000086\0457_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000407\0440_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000407\0088_03.jpg,F:\DATASET\VGGFace2\dataset\train\n000098\0415_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000391\0095_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000391\0227_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000389\0127_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000064\0172_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000064\0012_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000355\0070_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000440\0440_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000440\0144_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000321\0171_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000127\0067_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000127\0061_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000434\0339_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000137\0003_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000137\0106_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000278\0003_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000463\0220_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000463\0135_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000406\0311_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000336\0335_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000336\0119_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000470\0083_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000216\0214_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000216\0317_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000386\0456_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000003\0168_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000003\0231_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000220\0027_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000498\0287_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000498\0188_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000401\0220_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000370\0076_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000370\0015_04.jpg,F:\DATASET\VGGFace2\dataset\train\n000232\0071_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000345\0109_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000345\0460_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000333\0271_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000281\0092_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000281\0368_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000291\0355_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000188\0543_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000188\0080_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000397\0205_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000269\0049_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000269\0099_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000045\0111_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000372\0240_03.jpg,F:\DATASET\VGGFace2\dataset\train\n000372\0158_03.jpg,F:\DATASET\VGGFace2\dataset\train\n000095\0203_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000368\0175_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000368\0047_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000174\0026_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000315\0094_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000315\0075_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000134\0257_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000351\0283_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000351\0452_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000207\0062_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000298\0159_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000298\0206_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000287\0262_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000102\0134_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000102\0097_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000105\0316_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000443\0284_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000443\0283_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000302\0621_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000017\0211_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000017\0088_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000206\0028_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000211\0205_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000211\0336_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000291\0161_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000066\0189_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000066\0149_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000478\0115_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000444\0090_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000444\0030_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000125\0113_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000235\0049_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000235\0253_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000372\0003_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000433\0167_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000433\0124_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000465\0095_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000342\0148_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000342\0355_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000109\0457_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000144\0162_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000144\0327_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000492\0191_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000092\0162_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000092\0098_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000353\0076_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000228\0311_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000228\0162_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000244\0134_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000167\0008_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000167\0288_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000067\0181_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000317\0001_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000317\0067_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000454\0335_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000038\0075_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000038\0066_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000225\0453_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000051\0088_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000051\0019_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000166\0296_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000308\0174_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000308\0060_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000369\0143_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000051\0201_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000051\0330_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000098\0377_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000191\0104_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000191\0617_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000341\0147_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000246\0066_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000246\0013_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000186\0094_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000115\0066_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000115\0106_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000498\0122_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000185\0414_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000185\0029_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000238\0049_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000096\0153_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000096\0499_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000159\0359_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000335\0177_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000335\0019_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000167\0129_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000265\0249_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000265\0555_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000189\0075_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000215\0035_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000215\0161_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000475\0201_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000314\0216_08.jpg,F:\DATASET\VGGFace2\dataset\train\n000314\0301_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000430\0109_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000418\0302_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000418\0301_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000408\0149_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000187\0217_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000187\0326_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000417\0343_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000249\0059_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000249\0182_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000079\0022_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000132\0236_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000132\0665_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000175\0277_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000058\0459_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000058\0241_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000204\0100_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000310\0158_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000310\0085_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000493\0019_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000104\0450_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000104\0202_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000163\0060_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000140\0322_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000140\0308_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000211\0197_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000314\0223_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000314\0052_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000226\0008_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000457\0131_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000457\0023_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000016\0087_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000034\0050_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000034\0139_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000391\0260_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000429\0299_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000429\0295_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000165\0324_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000146\0306_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000146\0155_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000163\0263_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000320\0185_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000320\0147_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000479\0453_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000208\0132_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000208\0107_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000050\0280_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000034\0089_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000034\0155_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000170\0185_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000424\0087_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000424\0059_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000398\0026_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000007\0157_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000007\0016_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000145\0139_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000049\0007_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000049\0062_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000239\0126_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000399\0391_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000399\0505_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000167\0083_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000445\0229_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000445\0073_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000077\0009_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000181\0238_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000181\0258_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000155\0088_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000351\0452_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000351\0267_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000433\0015_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000312\0183_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000312\0033_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000036\0083_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000413\0135_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000413\0011_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000234\0575_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000163\0336_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000163\0600_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000187\0112_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000187\0354_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000187\0238_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000122\0015_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000308\0102_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000308\0089_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000372\0114_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000364\0193_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000364\0084_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000006\0111_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000234\0103_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000234\0624_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000164\0337_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000007\0190_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000007\0404_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000162\0394_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000352\0144_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000352\0119_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000233\0097_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000280\0020_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000280\0082_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000303\0002_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000354\0072_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000354\0127_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000457\0110_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000281\0059_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000281\0195_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000483\0235_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000122\0068_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000122\0397_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000412\0455_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000488\0151_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000488\0331_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000140\0282_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000389\0145_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000389\0067_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000281\0048_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000194\0015_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000194\0199_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000167\0354_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000281\0089_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000281\0093_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000128\0108_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000372\0103_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000372\0012_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000211\0305_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000139\0472_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000139\0194_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000171\0190_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000008\0196_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000008\0072_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000300\0331_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000269\0196_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000269\0001_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000440\0044_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000383\0382_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000383\0085_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000271\0351_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000391\0138_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000391\0255_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000016\0377_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000476\0065_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000476\0096_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000190\0014_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000447\0064_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000447\0281_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000097\0172_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000042\0441_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000042\0168_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000437\0003_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000229\0213_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000229\0005_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000499\0293_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000461\0154_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000461\0200_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000262\0149_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000345\0320_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000345\0161_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000420\0379_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000257\0224_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000257\0013_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000137\0106_02.jpg
F:\DATASET\VGGFace2\dataset\train\n000318\0523_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000318\0205_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000399\0033_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000483\0010_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000483\0061_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000329\0209_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000185\0066_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000185\0031_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000050\0195_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000195\0030_02.jpg,F:\DATASET\VGGFace2\dataset\train\n000195\0327_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000396\0104_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000297\0348_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000297\0025_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000400\0015_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000264\0067_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000264\0145_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000116\0264_01.jpg
F:\DATASET\VGGFace2\dataset\train\n000352\0203_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000352\0154_01.jpg,F:\DATASET\VGGFace2\dataset\train\n000124\0139_03.jpg
